School ID,Name of School,"Elementary, Middle, or High School",Street Address,Phone Number,Link ,Network Manager,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,X_COORDINATE,Y_COORDINATE
609853,Salmon P Chase Elementary School,ES,2021 N Point St ,(773) 534-4185,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609853.pdf,Fullerton Elementary Network,No,Track_E,Not on Probation,Level 2,No,Average,55,Weak,28,Average,59,Weak,39,Weak,25,Weak,27,NDA,NDA,NDA,NDA,95.4,18.5,95.8,98.6,63,26.7,40.6,25,57.3,72.1,47.1,36.8,70.2,56.8,23.1,23.1,17.1,11,-0.6,0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,504,35,NDA,1158104.87,1913362.162
609773,Louis A Agassiz Elementary School,ES,2851 N Seminary Ave ,(773) 534-5725,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609773.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Not on Probation,Level 1,No,Average,53,NDA,NDA,Weak,23,Weak,21,NDA,NDA,NDA,NDA,Strong,56,Average,47,95.2,32.6,96.8,98.1,68.5,39,44.1,49.5,44.9,49.5,43.6,50,43.6,43.6,30,53.3,27.5,27.5,0.2,-0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,432,33,NDA,1168495.925,1919310.804
610105,Oriole Park Elementary School,ES,5424 N Oketo Ave ,(773) 534-1201,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610105.pdf,O'Hare Elementary Network,No,Standard,Not on Probation,Level 1,No,Very Strong,99,NDA,NDA,Very Strong,88,Strong,71,NDA,NDA,NDA,NDA,Strong,60,Weak,46,96.5,2.3,95.5,98.4,84.4,NDA,86,78.1,59.6,77.5,91.4,85.1,81.1,67,69.6,72.9,75.1,54.7,1.1,-0.2,Green,Yellow,87.1,53.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,648,30,NDA,1125978.285,1935191.982
609779,George Armstrong International Studies Elementary School,ES,2110 W Greenleaf Ave ,(773) 534-2150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609779.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Not on Probation,Level 1,No,Average,59,Average,57,Average,59,Strong,64,Average,53,Average,45,NDA,NDA,NDA,NDA,96.3,8.1,96.3,99.4,66.5,45.5,47.5,38.8,55.7,65.5,59.7,51.5,72.9,54.4,28.2,43.5,30.4,19.5,0.7,-0.2,Green,Yellow,30.8,60.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1509,32,NDA,1160591.979,1946966.544
609896,Thomas Drummond Elementary School,ES,1845 W Cortland St ,(773) 534-4120,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609896.pdf,Fullerton Elementary Network,Yes,Track_E,Not on Probation,Level 1,No,Strong,72,NDA,NDA,Average,59,Average,46,NDA,NDA,NDA,NDA,Strong,58,Average,48,95.2,0.3,96.7,97.5,71.3,NDA,68.6,69.3,66.3,75.3,37.7,42.9,43.3,61.3,0,0,34,34,0,0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,352,35,NDA,1163566.562,1912627.608
609994,William G Hibbard Elementary School,ES,3244 W Ainslie St ,(773) 534-5191,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609994.pdf,O'Hare Elementary Network,No,Standard,Not on Probation,Level 2,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,49,Average,50,96.5,3,96.9,99.3,70.7,20.7,38.3,27.2,40,46.7,38.8,34.7,33.9,38.3,NDA,NDA,19.3,15.3,0.5,-0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1239,31,NDA,1153660.42,1932405.972
609972,Helge A Haugan Elementary School,ES,4540 N Hamlin Ave ,(773) 534-5040,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609972.pdf,O'Hare Elementary Network,No,Standard,Not on Probation,Level 2,No,Average,43,Weak,39,Average,57,Average,49,Weak,33,Weak,30,Weak,46,Average,51,96.2,23.4,94.6,100,68.9,37.2,31.5,24.3,53.4,58.5,32.5,29.3,48,32.9,NDA,NDA,15.2,10.2,-0.3,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1299,31,NDA,1150195.236,1930075.176
610191,Stone Elementary Scholastic Academy,ES,6239 N Leavitt St ,(773) 534-2045,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610191.pdf,Ravenswood-Ridge Elementary Network,Yes,Standard,Not on Probation,Level 1,No,Strong,78,NDA,NDA,Average,55,Average,43,NDA,NDA,NDA,NDA,Strong,55,Average,47,96.4,1.9,96,100,83.2,46.2,62.8,67.5,59.9,56.7,62,68.8,59.9,59.4,40,47.3,45.7,44.7,0.3,1.7,Yellow,Green,57.1,56.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,646,32,NDA,1160554.673,1941569.632
609737,Friedrich W von Steuben Metropolitan Science High School,HS,5039 N Kimball Ave ,(773) 534-5100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609737.pdf,North-Northwest Side High School Network,No,Standard,Not on Probation,Level 2,No,Strong,70,Weak,39,Average,42,Average,51,Weak,26,Weak,29,NDA,NDA,NDA,NDA,87,4,95.6,99.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,15.9,15.7,17.3,16.7,0.8,20.4,3.1,34.6,88.2,78.5,1636,31,76.8,1152840.522,1933431.315
609817,Lyman A Budlong Elementary School,ES,2701 W Foster Ave ,(773) 534-2591,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609817.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Not on Probation,Level 2,No,Average,59,Average,56,Weak,33,Weak,38,Average,44,Average,41,Average,50,Average,49,95.4,3.9,95.7,98.7,77.1,54.4,44.9,53.5,48.1,57.9,36.3,44,44.7,36.4,9.1,23.6,26.6,23.7,-1.7,-0.4,Red,Yellow,48.1,16,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,864,31,NDA,1157387.173,1934388.087
610534,Skinner North,ES,640 W Scott St ,(773) 534-8500,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610534.pdf,Fullerton Elementary Network,Yes,Standard,Not on Probation,Not Enough Data,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,64,Average,52,96.4,0,97.8,100,83.3,83,100,100,74.1,76,NDA,NDA,NDA,NDA,NDA,NDA,100,100,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,242,33,NDA,1171670.974,1908773.84
610039,Carl von Linne Elementary School,ES,3221 N Sacramento Ave ,(773) 534-5262,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610039.pdf,Fullerton Elementary Network,No,Standard,Not on Probation,Level 1,No,Strong,68,Average,49,Strong,66,Strong,75,Weak,37,Average,44,Average,50,Strong,55,95.8,1.8,96.3,100,66.1,41.2,40.2,29.7,51.3,72,49.4,44.2,64.4,67.6,20.4,40.7,24.8,15.1,1.2,0.9,Green,Green,48.2,24,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,644,31,NDA,1155853.119,1921364.031
609695,Roald Amundsen High School,HS,5110 N Damen Ave ,(773) 534-2320,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609695.pdf,North-Northwest Side High School Network,No,Standard,Probation,Level 3,No,Average,51,Average,44,Average,43,Average,42,Weak,27,Average,41,Weak,43,Weak,41,81.1,8.7,95.9,99.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.8,13.9,14.9,14.8,1,16.7,1.8,16,64.6,49.1,1532,31,72.2,1162034.157,1934187.196
609708,Edwin G Foreman High School,HS,3235 N LeClaire Ave ,(773) 534-3400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609708.pdf,North-Northwest Side High School Network,No,Standard,Probation,Level 3,No,Weak,26,NDA,NDA,Weak,28,Weak,23,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.3,10.3,94.8,99.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,12.7,14.1,13.7,0.7,15.3,1.2,12.5,59.7,40.9,1716,29,75.6,1141833.359,1921189.138
610051,Northwest Middle School,MS,5252 W Palmer St ,(773) 534-3250,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610051.pdf,Fullerton Elementary Network,No,Standard,Probation,Level 3,No,Weak,34,NDA,NDA,Very Weak,17,Very Weak,13,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.4,2.2,95.1,98.9,NDA,NDA,NDA,NDA,NDA,NDA,29.5,25.1,41.4,41.1,10.3,14.8,11.3,5.9,-0.9,-1.4,Red,Red,10.5,62.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,756,29,NDA,1140773.188,1914158.944
610070,James B McPherson Elementary School,ES,4728 N Wolcott Ave ,(773) 534-2625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610070.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Not on Probation,Level 2,No,Strong,71,NDA,NDA,Average,48,Weak,38,NDA,NDA,NDA,NDA,Average,52,Strong,54,96.5,1.2,96.3,100,69.7,41.9,36.7,39.7,47.4,51.7,30.4,42,34.1,43.4,10.2,37.3,15.4,15.9,-0.8,-0.6,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,695,31,NDA,1162923.519,1931558.605
610220,Thomas J Waters Elementary School,ES,4540 N Campbell Ave ,(773) 534-5090,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610220.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Not on Probation,Level 1,No,Very Strong,85,NDA,NDA,Average,56,Average,54,NDA,NDA,NDA,NDA,Average,52,Average,49,96.1,0.4,95.1,100,70.4,31.2,51.1,59,42,44.2,49.6,54.7,61.6,50.8,22.7,61.4,27.2,28.5,0.2,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,590,31,NDA,1158841.899,1930252.459
609732,Charles P Steinmetz Academic Centre High School,HS,3030 N Mobile Ave ,(773) 534-3030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609732.pdf,North-Northwest Side High School Network,No,Standard,Probation,Level 3,No,Weak,26,Weak,35,Weak,29,Weak,34,Weak,36,Weak,32,NDA,NDA,NDA,NDA,79.2,30.4,96.2,99.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,13.8,13.8,14.3,1.3,16.1,2.3,16.3,56.7,47,1890,30,70.3,1133838.348,1919613.694
610242,Joseph Brennemann Elementary School,ES,4251 N Clarendon Ave ,(773) 534-5766,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610242.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Not on Probation,Level 1,No,Average,50,Average,56,Average,55,Average,59,Average,41,Average,54,Average,53,Strong,59,96.5,13.7,97.7,96.7,79.8,47.2,32.4,30.8,50.5,65.7,48.8,30,66.2,50,8.3,25,18.1,10.9,1,1,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,362,32,NDA,1170183.793,1928747.67
610078,Inter-American Elementary Magnet School,ES,851 W Waveland Ave ,(773) 534-5490,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610078.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Not on Probation,Level 1,No,Strong,67,NDA,NDA,Average,50,Average,51,NDA,NDA,NDA,NDA,Average,51,Average,47,96.2,3,96.2,100,68.2,31.2,46.6,38.7,51.3,49.5,52.3,50,54.8,54.1,34.5,29.6,27.6,21.3,1.1,1.9,Green,Green,32.1,83.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,690,33,NDA,1169719.256,1924734.562
610234,Richard Yates Elementary School,ES,1839 N Richmond St ,(773) 534-4550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610234.pdf,Fullerton Elementary Network,No,Track_E,Probation,Level 3,No,Average,42,NDA,NDA,Strong,66,Strong,73,NDA,NDA,NDA,NDA,Average,51,Strong,55,93.7,5.6,96.2,98.6,60.4,55.8,41.3,18,42.9,53.5,42.2,20.2,41.3,51.7,21.8,9.1,15.2,5.4,-0.2,-1,Yellow,Red,28.6,77.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,690,34,NDA,1156561.083,1912262.258
609720,Albert G Lane Technical High School,HS,2501 W Addison St ,(773) 534-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609720.pdf,North-Northwest Side High School Network,Yes,Standard,Not on Probation,Level 1,No,Very Strong,88,NDA,NDA,Strong,62,Average,52,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.3,2.1,96.2,99.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,19.1,19.5,19.9,20.1,1,23.4,3.5,67.9,92.2,79.8,4368,35,90.7,1158975.392,1923791.705
610074,James Monroe Elementary School,ES,3651 W Schubert Ave ,(773) 534-4155,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610074.pdf,Fullerton Elementary Network,No,Track_E,Probation,Level 2,No,Average,45,NDA,NDA,Weak,26,Weak,22,NDA,NDA,NDA,NDA,Average,47,Average,47,95.1,22.1,95.8,98.1,66.5,25.8,37.9,27,46.5,55.1,31.6,32.2,50.3,45.3,12.5,24,15.5,11.6,-0.6,-0.4,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1125,29,NDA,1151359.151,1917666.234
609729,Carl Schurz High School,HS,3601 N Milwaukee Ave ,(773) 534-3420,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609729.pdf,North-Northwest Side High School Network,No,Standard,Probation,Level 3,No,Average,48,Weak,36,Weak,36,Weak,29,Weak,30,Weak,31,NDA,NDA,NDA,NDA,81.2,13.8,96,98.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.1,12.9,14.3,14,0.9,15.6,1.3,9.7,62.1,40.4,2366,29,61.6,1146851.198,1923627.843
610136,William H Prescott Elementary School,ES,1632 W Wrightwood Ave ,(773) 534-5505,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610136.pdf,Fullerton Elementary Network,No,Track_E,Not on Probation,Level 2,No,Very Strong,90,NDA,NDA,Average,51,Weak,24,NDA,NDA,NDA,NDA,Average,50,Average,48,93.5,73.9,97.6,95,NDA,NDA,24.4,31.7,63.2,46.3,42.6,43.5,61.7,65.9,NDA,NDA,16,8.9,0.4,0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,240,33,NDA,1164875.342,1917368.608
610187,Graeme Stewart Elementary School,ES,4525 N Kenmore Ave ,(773) 534-2640,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610187.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Probation,Level 2,No,Average,49,NDA,NDA,Average,46,Average,57,NDA,NDA,NDA,NDA,Average,47,Average,52,95.2,77,96.1,100,47.4,44.2,23.6,25.8,66.3,52.9,31.7,46,59.3,55.9,9.1,40.9,11.9,9.7,0.5,1.1,Yellow,Yellow,30.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,280,32,NDA,1168446.748,1930325.571
610355,Mary E Courtenay Elementary Language Arts Center,ES,1726 W Berteau Ave ,(773) 534-5790,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610355.pdf,Ravenswood-Ridge Elementary Network,Yes,Standard,Not on Probation,Level 2,No,Very Strong,99,NDA,NDA,Very Strong,95,Very Strong,80,NDA,NDA,NDA,NDA,Strong,59,Average,49,94.9,10.8,94.2,100,90.5,92.9,51,38.5,62,59.2,47.7,57.8,45.5,37.8,16.7,55.6,21.2,28.6,-1.2,-0.8,Red,Yellow,19,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,257,33,NDA,1164156.393,1927985.538
610205,Lyman Trumbull Elementary School,ES,5200 N Ashland Ave ,(773) 534-2430,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610205.pdf,Ravenswood-Ridge Elementary Network,No,Standard,Probation,Level 3,No,Average,56,NDA,NDA,Average,47,Weak,25,NDA,NDA,NDA,NDA,Average,50,Strong,55,94.3,17.8,95.2,97.7,55.1,25.7,21.6,29,37.5,38,39,42.2,30.4,31.8,21.1,36.8,14.2,13.5,-1.8,-1.5,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,438,32,NDA,1164684.835,1934622.012
